Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
133;58130;"Journal of the Energy Institute";journal;"17460220, 17439671";1,126;Q1;66;242;582;13970;3625;582;6,10;57,73;31,21;0;133;United Kingdom;Western Europe;"Elsevier B.V.";"2004-2023";"Condensed Matter Physics (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Physics and Astronomy"
134;21100817456;"High Power Laser Science and Engineering";journal;"20954719, 20523289";1,125;Q1;33;94;156;4281;748;156;5,17;45,54;21,40;0;11;United Kingdom;Western Europe;"Cambridge University Press";"2013-2023";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1); Nuclear and High Energy Physics (Q1); Nuclear Energy and Engineering (Q1)";"Energy; Materials Science; Physics and Astronomy"
135;21101046405;"Carbon Resources Conversion";journal;"25889133";1,116;Q1;26;35;81;2221;542;81;6,95;63,46;38,10;0;20;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2018-2023";"Fuel Technology (Q1); Materials Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Catalysis (Q2)";"Chemical Engineering; Energy; Materials Science"
136;11700154702;"Biotechnology for Biofuels";journal;"17546834";1,113;Q2;129;0;435;0;3188;433;7,48;0,00;0,00;0;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2021";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Management, Monitoring, Policy and Law (Q1); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Biochemistry, Genetics and Molecular Biology; Energy; Environmental Science; Immunology and Microbiology"
137;28810;"Biomass and Bioenergy";journal;"09619534, 18732909";1,107;Q2;207;242;903;15072;6064;899;6,73;62,28;37,80;1;184;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2023";"Agronomy and Crop Science (Q1); Forestry (Q1); Waste Management and Disposal (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Energy; Environmental Science"
138;16430;"Meitan Xuebao/Journal of the China Coal Society";journal;"02539993";1,082;Q1;82;371;1412;14932;5413;1412;3,91;40,25;28,60;0;121;China;Asiatic Region;"China Coal Society";"1981-1982, 1984-1987, 1994-1995, 1998, 2001-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Mechanical Engineering (Q1)";"Earth and Planetary Sciences; Energy; Engineering"
139;21100389511;"Energy Reports";journal;"23524847";1,072;Q2;88;1832;4916;67564;28804;4906;5,67;36,88;27,27;2;1194;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2023";"Energy (miscellaneous) (Q2)";"Energy"
140;28027;"IEEE Power and Energy Magazine";journal;"15407977";1,072;Q1;95;69;222;287;489;181;2,30;4,16;14,37;0;27;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2003-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
141;21100286318;"Energy, Sustainability and Society";journal;"21920567";1,066;Q1;42;49;141;3298;824;137;4,74;67,31;35,26;1;44;United States;Northern America;"Springer Science + Business Media";"2011-2023";"Development (Q1); Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences"
142;21100432519;"International Journal of Coal Science and Technology";journal;"21987823, 20958293";1,066;Q1;45;90;270;4713;1729;266;7,17;52,37;27,50;0;25;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Energy Engineering and Power Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
143;15300154827;"SPE Journal";journal;"1086055X";1,060;Q1;122;240;673;11188;2716;673;4,01;46,62;22,02;0;30;United States;Northern America;"Society of Petroleum Engineers (SPE)";"1969-1973, 1996-2023";"Energy Engineering and Power Technology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Energy (miscellaneous) (Q2)";"Earth and Planetary Sciences; Energy"
144;21101090711;"Applications in Energy and Combustion Science";journal;"2666352X";1,044;Q1;13;132;87;7233;460;86;5,47;54,80;18,16;0;39;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2023";"Chemical Engineering (miscellaneous) (Q1); Fuel Technology (Q1); Energy (miscellaneous) (Q2)";"Chemical Engineering; Energy"
145;21100775662;"Food and Energy Security";journal;"20483694";1,043;Q2;43;87;190;7145;1079;189;5,13;82,13;32,71;3;57;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2023";"Agronomy and Crop Science (Q1); Food Science (Q1); Forestry (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Energy"
146;16044;"Electric Power Systems Research";journal;"03787796";1,029;Q1;146;958;2266;35533;9839;2260;4,20;37,09;22,30;0;427;Netherlands;Western Europe;"Elsevier B.V.";"1977-2024";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)";"Energy; Engineering"
147;21100372101;"Nanotechnology Reviews";journal;"21919097, 21919089";1,024;Q1;60;148;434;15292;3254;434;6,85;103,32;33,92;0;50;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2023";"Biotechnology (Q1); Energy Engineering and Power Technology (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Surfaces, Coatings and Films (Q1); Biomaterials (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Engineering; Materials Science; Medicine"
148;29364;"Energy &amp; Fuels";journal;"08870624, 15205029";1,018;Q1;221;1581;4354;109310;23821;4323;5,48;69,14;29,28;0;746;United States;Northern America;"American Chemical Society";"1987-2023";"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)";"Chemical Engineering; Energy"
149;22645;"Geothermics";journal;"03756505";0,994;Q2;93;175;659;9646;2769;658;4,14;55,12;20,74;0;132;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1972-1975, 1977-2024";"Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Earth and Planetary Sciences; Energy"
150;21100970266;"IEEE Transactions on Sustainable Computing";journal;"23773782";0,980;Q2;32;91;172;2625;621;164;3,44;28,85;23,48;0;36;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2023";"Computational Theory and Mathematics (Q1); Control and Optimization (Q1); Hardware and Architecture (Q1); Renewable Energy, Sustainability and the Environment (Q2); Software (Q2)";"Computer Science; Energy; Mathematics"
151;29251;"Plasma Physics and Controlled Fusion";journal;"13616587, 07413335";0,977;Q1;120;225;869;10211;1883;866;2,08;45,38;20,65;0;124;United Kingdom;Western Europe;"IOP Publishing Ltd.";"1974, 1984-2023";"Condensed Matter Physics (Q1); Nuclear Energy and Engineering (Q1)";"Energy; Physics and Astronomy"
152;15530;"Power System Technology";journal;"10003673";0,975;Q2;88;532;1626;15545;7042;1626;4,31;29,22;32,84;0;249;China;Asiatic Region;"";"2004-2005, 2010-2023";"Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
153;5200153123;"Journal of Physical Chemistry C";journal;"19327447, 19327455";0,957;Q2;338;2489;8171;135898;28460;8136;3,32;54,60;29,37;0;579;United States;Northern America;"American Chemical Society";"2007-2023";"Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1); Surfaces, Coatings and Films (Q1); Energy (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2)";"Chemistry; Energy; Materials Science"
154;21100317418;"International Journal of Precision Engineering and Manufacturing - Green Technology";journal;"21980810, 22886206";0,946;Q2;53;118;311;7164;1644;308;5,45;60,71;20,99;0;79;United States;Northern America;"Springer Science + Business Media";"2014-2023";"Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Management of Technology and Innovation (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Business, Management and Accounting; Energy; Engineering; Materials Science"
155;17600155222;"Renewable Energy Focus";trade journal;"18780229, 17550084";0,944;Q2;35;103;152;7109;799;152;5,04;69,02;22,44;0;98;United Kingdom;Western Europe;"Elsevier Ltd";"2007-2023";"Renewable Energy, Sustainability and the Environment (Q2)";"Energy"
156;29391;"Energy Journal";journal;"01956574";0,934;Q2;92;60;201;2974;477;182;2,07;49,57;21,29;3;36;United States;Northern America;"International Association for Energy Economics";"1994-2023";"Economics and Econometrics (Q2); Energy (miscellaneous) (Q2)";"Economics, Econometrics and Finance; Energy"
157;21100374317;"IEEE Electrification Magazine";trade journal;"23255889, 23255897";0,932;Q2;42;45;128;219;414;125;2,85;4,87;14,91;0;27;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
158;21101176928;"Circular Economy and Sustainability";journal;"27305988, 2730597X";0,931;Q2;21;126;156;8944;884;153;5,67;70,98;41,69;11;104;Switzerland;Western Europe;"Springer Nature";"2021-2023";"Environmental Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Environmental Science"
159;20851;"Environment";journal;"19399154, 00139157";0,930;Q2;60;33;82;0;154;42;2,58;0,00;43,48;3;9;United States;Northern America;"Taylor and Francis Ltd.";"1969-2023";"Environmental Engineering (Q1); Water Science and Technology (Q1); Global and Planetary Change (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Environmental Science"
160;29021;"Journal of Nuclear Materials";journal;"00223115";0,923;Q1;166;531;1825;26758;5818;1816;3,10;50,39;25,93;2;91;Netherlands;Western Europe;"Elsevier B.V.";"1959-2024";"Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Nuclear Energy and Engineering (Q1)";"Energy; Materials Science; Physics and Astronomy"
161;21100287109;"Sustainable Environment Research";journal;"24682039";0,907;Q2;48;42;116;1723;667;116;5,22;41,02;35,83;0;38;Taiwan;Asiatic Region;"Chinese Institute of Environmental Engineering (CIEnvE)";"2010-2023";"Environmental Engineering (Q1); Pollution (Q1); Water Science and Technology (Q1); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Energy; Environmental Science"
162;21101170020;"Solar Energy Advances";journal;"26671131";0,894;Q2;8;15;29;556;124;29;4,28;37,07;18,52;0;13;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2023";"Environmental Science (miscellaneous) (Q1); Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Environmental Science"
163;21101089555;"Journal of Pipeline Science and Engineering";journal;"26671433";0,882;Q2;13;22;69;931;381;69;5,52;42,32;17,28;0;2;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Energy (miscellaneous) (Q2)";"Chemical Engineering; Energy; Engineering"
164;21100901156;"Journal of Reliable Intelligent Environments";journal;"21994668, 21994676";0,874;Q2;23;35;75;1836;340;63;5,02;52,46;26,05;0;9;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Computer Science (miscellaneous) (Q1); Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy"
165;21101039622;"Engineered Science";journal;"2576988X, 25769898";0,870;Q2;49;123;238;6514;1849;235;7,67;52,96;35,01;0;47;United States;Northern America;"Engineered Science Publisher";"2018-2023";"Applied Mathematics (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1); Artificial Intelligence (Q2); Energy Engineering and Power Technology (Q2)";"Chemistry; Computer Science; Energy; Engineering; Materials Science; Mathematics"
166;25169;"Journal of the Electrochemical Society";journal;"00134651, 19457111";0,868;Q2;310;1138;4662;57390;16281;4651;2,81;50,43;30,46;0;527;United States;Northern America;"Electrochemical Society Inc.";"1948-1960, 1963-2023";"Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Surfaces, Coatings and Films (Q1); Electrochemistry (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Chemistry; Energy; Materials Science; Physics and Astronomy"
167;21101090689;"Energy Geoscience";journal;"26667592";0,865;Q2;21;84;105;3328;503;100;4,08;39,62;28,11;0;25;China;Asiatic Region;"KeAi Communications Co.";"2020-2024";"Geology (Q1); Geophysics (Q1); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Earth and Planetary Sciences; Energy"
168;30286;"Journal of King Saud University, Engineering Sciences";journal;"10183639";0,865;Q1;55;69;266;2594;1292;262;4,51;37,59;20,59;0;31;Saudi Arabia;Middle East;"King Saud University";"1989-2023";"Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Environmental Engineering (Q1); Fluid Flow and Transfer Processes (Q1); Fuel Technology (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Catalysis (Q2); Computer Networks and Communications (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Computer Science; Energy; Engineering; Environmental Science; Materials Science"
169;21100423919;"Energy Technology";journal;"21944296, 21944288";0,862;Q2;70;440;1194;25919;4811;1188;3,86;58,91;29,57;0;332;Germany;Western Europe;"Wiley - VCH Verlag GmbH &amp; CO. KGaA";"2013-2023";"Energy (miscellaneous) (Q2)";"Energy"
170;21100890597;"Geomechanics and Geophysics for Geo-Energy and Geo-Resources";journal;"23638427, 23638419";0,859;Q2;35;170;385;8532;1579;381;4,03;50,19;21,27;0;38;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2023";"Geophysics (Q1); Economic Geology (Q2); Energy (miscellaneous) (Q2); Geotechnical Engineering and Engineering Geology (Q2)";"Earth and Planetary Sciences; Energy"
171;5600152809;"IET Renewable Power Generation";journal;"17521416, 17521424";0,859;Q2;96;300;988;12663;3520;970;3,38;42,21;22,37;0;233;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2023";"Renewable Energy, Sustainability and the Environment (Q2)";"Energy"
172;21100398885;"Carbon Letters";journal;"22334998, 19764251";0,855;Q2;31;217;315;12133;1875;314;6,44;55,91;35,88;0;62;Singapore;Asiatic Region;"";"2014-2023";"Ceramics and Composites (Q1); Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Energy Engineering and Power Technology (Q2); Process Chemistry and Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Chemistry; Energy; Materials Science"
173;21100981739;"Petroleum Research";journal;"20962495, 25241729";0,841;Q2;23;77;119;3277;611;119;5,90;42,56;22,58;0;19;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2016-2023";"Geology (Q1); Energy Engineering and Power Technology (Q2); Geochemistry and Petrology (Q2)";"Earth and Planetary Sciences; Energy"
174;21100810716;"South African Journal of Chemical Engineering";journal;"10269185";0,832;Q2;35;123;224;7400;1382;222;5,78;60,16;33,87;0;63;Netherlands;Western Europe;"Elsevier B.V.";"2016-2024";"Education (Q1); Fluid Flow and Transfer Processes (Q1); Catalysis (Q2); Energy (miscellaneous) (Q2); Filtration and Separation (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Energy; Social Sciences"
175;17882;"Nuclear Engineering and Design";journal;"00295493";0,830;Q1;123;555;1337;19811;3019;1333;2,13;35,70;18,84;0;64;Netherlands;Western Europe;"Elsevier B.V.";"1965-2023";"Mechanical Engineering (Q1); Nuclear Energy and Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Materials Science (miscellaneous) (Q2); Nuclear and High Energy Physics (Q2); Waste Management and Disposal (Q2)";"Energy; Engineering; Environmental Science; Materials Science; Physics and Astronomy"
176;21101167215;"Resources Chemicals and Materials";journal;"27724433";0,829;Q2;8;27;27;2289;145;26;5,37;84,78;34,03;0;14;China;Asiatic Region;"KeAi Communications Co.";"2022-2024";"Chemical Engineering (miscellaneous) (Q1); Fuel Technology (Q2); Materials Science (miscellaneous) (Q2)";"Chemical Engineering; Energy; Materials Science"
177;26676;"International Journal of Energy Research";journal;"1099114X, 0363907X";0,826;Q1;123;329;3800;18176;18005;3775;4,60;55,25;24,10;0;209;United Kingdom;Western Europe;"";"1977-2023";"Nuclear Energy and Engineering (Q1); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy"
178;29090;"Nuclear Science and Techniques/Hewuli";journal;"10018042";0,824;Q1;32;200;426;8905;1471;426;3,75;44,53;27,07;0;22;Singapore;Asiatic Region;"Springer Singapore";"1993-1994, 1996, 1998-2010, 2013-2023";"Nuclear Energy and Engineering (Q1); Nuclear and High Energy Physics (Q2)";"Energy; Physics and Astronomy"
179;29363;"Annals of Nuclear Energy";journal;"03064549, 18732100";0,822;Q1;82;582;2092;19105;4703;2087;2,25;32,83;22,94;0;40;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2024";"Nuclear Energy and Engineering (Q1)";"Energy"
180;21100446963;"Materials for Renewable and Sustainable Energy";journal;"21941459, 21941467";0,820;Q2;29;22;61;1100;291;61;3,89;50,00;23,08;0;15;Switzerland;Western Europe;"Springer International Publishing AG";"2014-2023";"Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Materials Science"
181;21101034112;"Emergent Materials";journal;"2522574X, 25225731";0,817;Q2;30;182;346;11517;1967;332;5,78;63,28;31,53;0;66;Switzerland;Western Europe;"Springer Nature";"2018-2023";"Ceramics and Composites (Q1); Biomaterials (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Energy; Environmental Science; Materials Science"
182;21101063838;"Regional Sustainability";journal;"2666660X, 20970129";0,816;Q2;14;36;69;2199;335;69;4,73;61,08;39,32;0;35;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Social Sciences"
183;29587;"Journal of Propulsion and Power";journal;"15333876, 07484658";0,805;Q2;116;85;285;3500;643;270;2,17;41,18;14,98;0;12;United States;Northern America;"American Institute of Aeronautics and Astronautics Inc. (AIAA)";"1985-2023";"Aerospace Engineering (Q1); Mechanical Engineering (Q1); Fuel Technology (Q2); Space and Planetary Science (Q2)";"Earth and Planetary Sciences; Energy; Engineering"
184;21101074928;"MRS Energy and Sustainability";journal;"23292237, 23292229";0,797;Q2;25;22;78;1756;287;74;2,98;79,82;28,33;1;14;United Kingdom;Western Europe;"Cambridge University Press";"2014-2023";"Electronic, Optical and Magnetic Materials (Q1); Mechanics of Materials (Q1); Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Materials Science"
185;5400152713;"IET Generation, Transmission and Distribution";journal;"17518687, 17518695";0,787;Q2;129;405;1299;15281;3935;1292;2,65;37,73;22,80;0;179;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2007-2023";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
186;21100933233;"Bioresource Technology Reports";journal;"2589014X";0,785;Q2;50;388;933;25379;4513;927;4,92;65,41;37,21;0;255;United Kingdom;Western Europe;"Elsevier Ltd";"2018-2023";"Bioengineering (Q2); Environmental Engineering (Q2); Renewable Energy, Sustainability and the Environment (Q2); Waste Management and Disposal (Q2)";"Chemical Engineering; Energy; Environmental Science"
187;13182;"Progress in Nuclear Energy";journal;"01491970";0,785;Q1;82;395;1030;15945;3592;1029;3,42;40,37;24,29;0;59;United Kingdom;Western Europe;"Elsevier Ltd";"1977-1988, 1990-1992, 1994-2023";"Nuclear Energy and Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Energy Engineering and Power Technology (Q2); Waste Management and Disposal (Q2)";"Energy; Engineering; Environmental Science"
188;21101090589;"Experimental and Computational Multiphase Flow";journal;"26618877, 26618869";0,784;Q1;18;34;85;1391;316;84;3,85;40,91;22,77;0;5;China;Asiatic Region;"Tsinghua University Press";"2019-2023";"Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Nuclear Energy and Engineering (Q1); Nuclear and High Energy Physics (Q2)";"Chemical Engineering; Energy; Engineering; Physics and Astronomy"
189;21101067067;"Lithologic Reservoirs";journal;"16738926";0,783;Q2;14;62;288;2122;510;288;1,99;34,23;31,93;0;8;China;Asiatic Region;"China National Petroleum Corporation and PetroChina Company Limited";"2019-2023";"Geology (Q1); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Geophysics (Q2); Geotechnical Engineering and Engineering Geology (Q2)";"Earth and Planetary Sciences; Energy"
190;21100853806;"Molecular Systems Design and Engineering";journal;"20589689";0,783;Q2;41;108;384;6867;1327;376;3,22;63,58;27,96;0;24;United Kingdom;Western Europe;"Royal Society of Chemistry";"2016-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Materials Chemistry (Q1); Biomedical Engineering (Q2); Energy Engineering and Power Technology (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Chemistry; Energy; Engineering; Materials Science"
191;21100385605;"Smart and Sustainable Built Environment";journal;"20466102, 20466099";0,782;Q2;28;117;156;8396;838;154;6,04;71,76;28,53;0;82;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2023";"Architecture (Q1); Building and Construction (Q1); Civil and Structural Engineering (Q1); Cultural Studies (Q1); Urban Studies (Q1); Human Factors and Ergonomics (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Environmental Science; Social Sciences"
192;83986;"Gaodianya Jishu/High Voltage Engineering";journal;"10036520";0,781;Q2;68;506;1470;16987;4931;1470;3,54;33,57;30,31;0;154;China;Asiatic Region;"Science China Press";"2001-2023";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
193;21101060204;"Advances in Aerodynamics";journal;"25246992";0,773;Q2;14;30;101;1165;286;100;2,72;38,83;28,95;0;4;Singapore;Asiatic Region;"Springer China";"2019-2023";"Aerospace Engineering (Q1); Civil and Structural Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering; Mathematics"
194;21100817528;"Energy Science and Engineering";journal;"20500505";0,770;Q2;51;310;754;13867;3004;751;4,18;44,73;25,37;0;149;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2013-2023";"Energy (miscellaneous) (Q2); Safety, Risk, Reliability and Quality (Q2)";"Energy; Engineering"
195;21101048373;"Current Sustainable/Renewable Energy Reports";journal;"21963010";0,769;Q2;26;23;59;1873;196;59;3,11;81,43;16,67;0;16;Switzerland;Western Europe;"Springer International Publishing";"2014-2023";"Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Engineering"
196;21100811143;"Propulsion and Power Research";journal;"2212540X";0,763;Q2;41;41;101;2225;582;101;5,75;54,27;16,56;0;7;Netherlands;Western Europe;"KeAi Communications Co.";"2012-2023";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Fluid Flow and Transfer Processes (Q1); Mechanical Engineering (Q1); Fuel Technology (Q2)";"Chemical Engineering; Energy; Engineering"
197;21100869488;"Bioresources and Bioprocessing";journal;"21974365";0,756;Q2;48;93;326;5917;1619;326;4,86;63,62;43,00;0;41;Germany;Western Europe;"SpringerOpen";"2014-2023";"Food Science (Q1); Biomedical Engineering (Q2); Biotechnology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Energy; Engineering"
198;21101064807;"Cleaner and Responsible Consumption";journal;"26667843";0,750;Q2;14;64;87;4349;390;87;4,41;67,95;38,20;0;51;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2023";"Geography, Planning and Development (Q1); Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2); Environmental Engineering (Q2); Environmental Science (miscellaneous) (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Economics, Econometrics and Finance; Energy; Environmental Science; Social Sciences"
199;21100453600;"Geothermal Energy";journal;"21959706";0,750;Q2;33;34;82;2105;273;81;2,79;61,91;25,61;0;27;United States;Northern America;"Springer Science + Business Media";"2013-2023";"Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Earth and Planetary Sciences; Energy"
200;12700154702;"Biofuels, Bioproducts and Biorefining";journal;"1932104X, 19321031";0,748;Q2;102;125;344;8386;1602;337;4,13;67,09;32,41;2;100;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2007-2023";"Bioengineering (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Chemical Engineering; Energy"
201;4800152404;"Dianli Zidonghua Shebei / Electric Power Automation Equipment";journal;"10066047";0,746;Q2;52;334;1111;7619;3479;1109;3,34;22,81;32,39;0;166;China;Asiatic Region;"Electric Power Automation Equipment Press";"2005-2023";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)";"Energy; Engineering"
202;21100924379;"Environments - MDPI";journal;"20763298";0,744;Q2;42;222;403;15847;1642;390;3,89;71,38;37,59;3;178;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2014-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Environmental Science (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Agricultural and Biological Sciences; Energy; Environmental Science"
203;21100825187;"ChemNanoMat";journal;"2199692X";0,743;Q2;52;192;585;12801;1810;579;3,02;66,67;34,28;0;81;Germany;Western Europe;"Wiley-VCH Verlag";"2015-2023";"Biomaterials (Q2); Energy Engineering and Power Technology (Q2); Materials Chemistry (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy; Materials Science"
204;16392;"Chemical Engineering and Processing: Process Intensification";journal;"02552701";0,739;Q2;125;302;1134;15922;5076;1129;4,42;52,72;29,94;0;130;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Chemical Engineering (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Chemistry (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Chemistry; Energy; Engineering"
205;21101140437;"Energy Advances";journal;"27531457";0,739;Q2;10;185;89;13873;295;88;3,31;74,99;25,36;0;124;United Kingdom;Western Europe;"Royal Society of Chemistry";"2022-2023";"Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Fuel Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)";"Energy"
